date,order_id,revenue,units,region,product_category,sales_channel,visitors,_parsed_date
2026-07-28,ORD-0728-8160,362.26,3.0,East,Electronics,Mobile App,128.0,2026-07-28
2026-07-28,ORD-0728-8958,83.59,1.0,North,Apparel,In-Store POS,149.0,2026-07-28
2026-07-28,ORD-0728-7987,46.61,2.0,East,Apparel,Mobile App,145.0,2026-07-28
2026-07-28,ORD-0728-4888,114.22,2.0,South,Health & Beauty,In-Store POS,115.0,2026-07-28
2026-07-28,ORD-0728-8302,94.16,4.0,West,Apparel,Marketplace,82.0,2026-07-28
2026-07-28,ORD-0728-9965,287.65,4.0,West,Electronics,In-Store POS,82.0,2026-07-28
2026-07-28,ORD-0728-1303,191.93,3.0,East,Electronics,In-Store POS,140.0,2026-07-28
2026-07-28,ORD-0728-5560,128.53,4.0,South,Apparel,Online Store,100.0,2026-07-28
2026-07-28,ORD-0728-2883,63.24,1.0,North,Home & Living,Marketplace,85.0,2026-07-28
2026-07-28,ORD-0728-1688,129.31,2.0,East,Home & Living,Mobile App,150.0,2026-07-28
2026-07-28,ORD-0728-9804,149.6,4.0,South,Electronics,Online Store,102.0,2026-07-28
2026-07-28,ORD-0728-3727,107.6,4.0,North,Health & Beauty,Mobile App,133.0,2026-07-28
2026-07-28,ORD-0728-1899,45.96,1.0,West,Apparel,Marketplace,109.0,2026-07-28
2026-07-28,ORD-0728-1344,468.47,1.0,South,Electronics,Online Store,113.0,2026-07-28
2026-07-28,ORD-0728-7457,99.45,4.0,South,Home & Living,In-Store POS,103.0,2026-07-28
2026-07-28,ORD-0728-7821,140.01,2.0,West,Home & Living,In-Store POS,80.0,2026-07-28
2026-07-29,ORD-0729-2343,118.47,1.0,West,Electronics,Marketplace,114.0,2026-07-29
2026-07-29,ORD-0729-4348,382.67,4.0,North,Electronics,Online Store,81.0,2026-07-29
2026-07-29,ORD-0729-7433,457.94,2.0,South,Electronics,In-Store POS,82.0,2026-07-29
2026-07-29,ORD-0729-3939,297.5,4.0,North,Electronics,Marketplace,112.0,2026-07-29
2026-07-29,ORD-0729-3148,48.15,1.0,North,Health & Beauty,Mobile App,138.0,2026-07-29
2026-07-29,ORD-0729-5546,298.09,4.0,South,Electronics,In-Store POS,137.0,2026-07-29
2026-07-29,ORD-0729-4759,80.31,2.0,East,Apparel,Online Store,104.0,2026-07-29
2026-07-29,ORD-0729-3978,46.39,3.0,West,Apparel,Online Store,111.0,2026-07-29
2026-07-29,ORD-0729-6218,59.53,2.0,East,Home & Living,In-Store POS,141.0,2026-07-29
2026-07-29,ORD-0729-4385,129.77,3.0,South,Apparel,Mobile App,147.0,2026-07-29
2026-07-29,ORD-0729-6814,88.91,3.0,South,Health & Beauty,Marketplace,82.0,2026-07-29
2026-07-29,ORD-0729-6429,129.62,3.0,West,Health & Beauty,In-Store POS,131.0,2026-07-29
2026-07-29,ORD-0729-6535,177.86,1.0,East,Apparel,Marketplace,98.0,2026-07-29
2026-07-29,ORD-0729-5800,78.47,1.0,East,Home & Living,In-Store POS,122.0,2026-07-29
2026-07-29,ORD-0729-3113,331.31,4.0,South,Electronics,Online Store,109.0,2026-07-29
2026-07-29,ORD-0729-3853,31.06,3.0,South,Apparel,Marketplace,145.0,2026-07-29
2026-07-29,ORD-0729-9765,114.25,3.0,East,Health & Beauty,Online Store,147.0,2026-07-29
2026-07-29,ORD-0729-9144,40.47,2.0,North,Home & Living,In-Store POS,98.0,2026-07-29
2026-07-29,ORD-0729-1675,137.68,4.0,West,Health & Beauty,Online Store,100.0,2026-07-29
2026-07-29,ORD-0729-3693,163.79,2.0,South,Health & Beauty,In-Store POS,141.0,2026-07-29
2026-07-29,ORD-0729-6371,95.87,2.0,South,Home & Living,Mobile App,126.0,2026-07-29
2026-07-29,ORD-0729-7065,405.81,3.0,West,Electronics,In-Store POS,115.0,2026-07-29
2026-07-29,ORD-0729-1151,151.73,3.0,West,Health & Beauty,Marketplace,130.0,2026-07-29
2026-07-29,ORD-0729-9793,26.68,1.0,North,Apparel,Marketplace,120.0,2026-07-29
2026-07-29,ORD-0729-2544,167.04,3.0,South,Home & Living,In-Store POS,133.0,2026-07-29
2026-07-29,ORD-0729-9420,126.78,1.0,North,Apparel,Online Store,101.0,2026-07-29
2026-07-29,ORD-0729-3456,161.82,2.0,South,Apparel,Marketplace,103.0,2026-07-29
2026-07-29,ORD-0729-3701,130.6,2.0,North,Apparel,In-Store POS,110.0,2026-07-29
2026-07-29,ORD-0729-3498,106.71,3.0,East,Health & Beauty,Online Store,125.0,2026-07-29
2026-07-29,ORD-0729-8657,26.53,4.0,North,Home & Living,Marketplace,123.0,2026-07-29
2026-07-30,ORD-0730-5891,175.85,2.0,West,Apparel,In-Store POS,85.0,2026-07-30
2026-07-30,ORD-0730-2900,130.67,3.0,North,Home & Living,Mobile App,88.0,2026-07-30
2026-07-30,ORD-0730-2219,158.61,1.0,East,Health & Beauty,In-Store POS,111.0,2026-07-30
2026-07-30,ORD-0730-8629,275.22,4.0,West,Electronics,Marketplace,82.0,2026-07-30
2026-07-30,ORD-0730-6080,337.41,3.0,North,Electronics,Online Store,137.0,2026-07-30
2026-07-30,ORD-0730-9277,63.37,1.0,West,Health & Beauty,Mobile App,115.0,2026-07-30
2026-07-30,ORD-0730-8703,36.3,4.0,North,Health & Beauty,In-Store POS,134.0,2026-07-30
2026-07-30,ORD-0730-8309,167.77,3.0,East,Health & Beauty,Marketplace,132.0,2026-07-30
2026-07-30,ORD-0730-4873,129.83,2.0,North,Apparel,Online Store,95.0,2026-07-30
2026-07-30,ORD-0730-4784,106.74,4.0,North,Apparel,Mobile App,114.0,2026-07-30
2026-07-30,ORD-0730-7749,149.55,2.0,West,Health & Beauty,Marketplace,90.0,2026-07-30
2026-07-30,ORD-0730-2175,154.97,4.0,East,Health & Beauty,Online Store,88.0,2026-07-30
2026-07-30,ORD-0730-7037,34.89,3.0,North,Home & Living,In-Store POS,139.0,2026-07-30
2026-07-30,ORD-0730-8702,29.07,2.0,South,Home & Living,Marketplace,110.0,2026-07-30
2026-07-30,ORD-0730-6343,79.96,3.0,South,Electronics,Marketplace,100.0,2026-07-30
2026-07-30,ORD-0730-9317,55.47,4.0,North,Home & Living,Mobile App,98.0,2026-07-30
2026-07-30,ORD-0730-6679,144.42,4.0,East,Health & Beauty,Online Store,133.0,2026-07-30
2026-07-30,ORD-0730-3550,53.93,1.0,South,Home & Living,Marketplace,136.0,2026-07-30
2026-07-30,ORD-0730-6694,28.07,3.0,West,Apparel,In-Store POS,92.0,2026-07-30
2026-07-30,ORD-0730-4447,158.07,3.0,North,Home & Living,Online Store,123.0,2026-07-30
2026-07-31,ORD-0731-7419,110.94,2.0,East,Home & Living,Mobile App,88.0,2026-07-31
2026-07-31,ORD-0731-6940,92.76,4.0,East,Apparel,Online Store,114.0,2026-07-31
2026-07-31,ORD-0731-6246,343.74,3.0,West,Electronics,Online Store,124.0,2026-07-31
2026-07-31,ORD-0731-4097,66.27,4.0,East,Apparel,In-Store POS,108.0,2026-07-31
2026-07-31,ORD-0731-5239,405.53,4.0,East,Electronics,Online Store,97.0,2026-07-31
2026-07-31,ORD-0731-2435,141.63,3.0,East,Health & Beauty,Marketplace,94.0,2026-07-31
2026-07-31,ORD-0731-8295,177.52,2.0,South,Health & Beauty,Mobile App,97.0,2026-07-31
2026-07-31,ORD-0731-2020,62.94,1.0,West,Home & Living,Marketplace,102.0,2026-07-31
2026-07-31,ORD-0731-1293,132.98,4.0,North,Home & Living,In-Store POS,114.0,2026-07-31
2026-07-31,ORD-0731-7262,86.95,2.0,East,Apparel,Online Store,113.0,2026-07-31
2026-07-31,ORD-0731-2042,90.59,1.0,North,Home & Living,Mobile App,104.0,2026-07-31
2026-07-31,ORD-0731-2244,141.21,4.0,East,Home & Living,Online Store,108.0,2026-07-31
2026-07-31,ORD-0731-7450,292.87,4.0,West,Electronics,In-Store POS,112.0,2026-07-31
2026-07-31,ORD-0731-7360,460.8,1.0,East,Electronics,In-Store POS,120.0,2026-07-31
2026-07-31,ORD-0731-5899,104.71,1.0,West,Health & Beauty,Online Store,82.0,2026-07-31
2026-07-31,ORD-0731-4324,167.1,4.0,South,Apparel,Mobile App,82.0,2026-07-31
2026-07-31,ORD-0731-6458,58.51,1.0,East,Home & Living,In-Store POS,129.0,2026-07-31
2026-07-31,ORD-0731-7879,36.43,4.0,East,Health & Beauty,Marketplace,138.0,2026-07-31
2026-07-31,ORD-0731-7946,141.96,1.0,East,Health & Beauty,Online Store,91.0,2026-07-31
2026-07-31,ORD-0731-2246,77.49,4.0,South,Home & Living,In-Store POS,120.0,2026-07-31
2026-07-31,ORD-0731-7863,159.94,2.0,West,Health & Beauty,Marketplace,85.0,2026-07-31
2026-07-31,ORD-0731-9341,149.23,3.0,South,Home & Living,In-Store POS,115.0,2026-07-31
2026-07-31,ORD-0731-5324,132.99,4.0,East,Home & Living,Online Store,113.0,2026-07-31
2026-07-31,ORD-0731-2086,165.73,4.0,West,Apparel,Mobile App,136.0,2026-07-31
2026-07-31,ORD-0731-3821,181.14,3.0,South,Electronics,Marketplace,106.0,2026-07-31
2026-07-31,ORD-0731-6720,25.28,4.0,North,Apparel,Marketplace,88.0,2026-07-31
2026-07-31,ORD-0731-3212,74.35,3.0,South,Home & Living,Online Store,121.0,2026-07-31
2026-07-31,ORD-0731-7868,53.01,4.0,West,Apparel,Online Store,141.0,2026-07-31
2026-07-31,ORD-0731-7150,89.09,2.0,East,Apparel,In-Store POS,120.0,2026-07-31
2026-07-31,ORD-0731-2692,182.96,3.0,West,Electronics,Mobile App,89.0,2026-07-31
2026-07-31,ORD-0731-9660,95.54,2.0,South,Health & Beauty,Online Store,108.0,2026-07-31
2026-07-31,ORD-0731-6862,118.61,1.0,South,Home & Living,In-Store POS,93.0,2026-07-31
2026-07-31,ORD-0731-9209,59.27,2.0,North,Health & Beauty,Marketplace,110.0,2026-07-31
2026-08-01,ORD-0801-9371,165.15,1.0,East,Home & Living,In-Store POS,89.0,2026-08-01
2026-08-01,ORD-0801-7526,122.93,4.0,East,Health & Beauty,In-Store POS,98.0,2026-08-01
2026-08-01,ORD-0801-8178,260.19,2.0,North,Electronics,Mobile App,87.0,2026-08-01
2026-08-01,ORD-0801-5766,339.78,2.0,West,Electronics,Mobile App,148.0,2026-08-01
2026-08-01,ORD-0801-1421,52.68,3.0,West,Home & Living,In-Store POS,104.0,2026-08-01
2026-08-01,ORD-0801-2158,90.86,4.0,East,Home & Living,Online Store,145.0,2026-08-01
2026-08-01,ORD-0801-3907,142.55,2.0,South,Apparel,Marketplace,144.0,2026-08-01
2026-08-01,ORD-0801-1274,111.82,3.0,South,Home & Living,Online Store,93.0,2026-08-01
2026-08-01,ORD-0801-5940,162.09,4.0,West,Electronics,Mobile App,148.0,2026-08-01
2026-08-01,ORD-0801-6958,139.75,3.0,West,Apparel,Online Store,94.0,2026-08-01
2026-08-01,ORD-0801-5599,77.85,1.0,North,Health & Beauty,Online Store,105.0,2026-08-01
2026-08-01,ORD-0801-3941,86.83,2.0,North,Health & Beauty,Mobile App,90.0,2026-08-01
2026-08-01,ORD-0801-8050,51.22,4.0,South,Apparel,Mobile App,89.0,2026-08-01
2026-08-01,ORD-0801-1707,32.94,3.0,East,Health & Beauty,Marketplace,88.0,2026-08-01
2026-08-01,ORD-0801-2781,140.39,4.0,South,Home & Living,Marketplace,96.0,2026-08-01
2026-08-01,ORD-0801-9263,174.61,4.0,South,Apparel,In-Store POS,106.0,2026-08-01
2026-08-01,ORD-0801-4115,93.52,1.0,South,Home & Living,In-Store POS,126.0,2026-08-01
2026-08-01,ORD-0801-7845,70.6,1.0,West,Home & Living,Online Store,149.0,2026-08-01
2026-08-01,ORD-0801-3088,28.99,3.0,North,Home & Living,In-Store POS,118.0,2026-08-01
2026-08-01,ORD-0801-5922,146.95,3.0,North,Apparel,Marketplace,144.0,2026-08-01
2026-08-01,ORD-0801-1968,178.87,3.0,South,Health & Beauty,In-Store POS,131.0,2026-08-01
2026-08-01,ORD-0801-3604,326.56,2.0,South,Electronics,Online Store,111.0,2026-08-01
2026-08-01,ORD-0801-6769,165.61,4.0,East,Apparel,In-Store POS,95.0,2026-08-01
2026-08-01,ORD-0801-1833,535.21,1.0,South,Electronics,Mobile App,86.0,2026-08-01
2026-08-01,ORD-0801-5979,153.71,4.0,South,Apparel,In-Store POS,129.0,2026-08-01
2026-08-01,ORD-0801-9790,25.85,2.0,North,Apparel,Online Store,125.0,2026-08-01
2026-08-01,ORD-0801-4416,253.43,3.0,East,Electronics,Online Store,134.0,2026-08-01
2026-08-01,ORD-0801-3115,125.31,3.0,South,Home & Living,In-Store POS,121.0,2026-08-01
2026-08-02,ORD-0802-7933,43.78,2.0,North,Home & Living,In-Store POS,111.0,2026-08-02
