date,order_id,revenue,units,region,product_category,sales_channel,visitors,_parsed_date
2026-07-28,ORD-0728-7232,162.92,4.0,West,Home & Living,Marketplace,108.0,2026-07-28
2026-07-28,ORD-0728-4277,160.83,2.0,West,Home & Living,Marketplace,87.0,2026-07-28
2026-07-28,ORD-0728-7796,109.03,3.0,West,Health & Beauty,Online Store,114.0,2026-07-28
2026-07-28,ORD-0728-7160,596.08,1.0,South,Electronics,In-Store POS,81.0,2026-07-28
2026-07-28,ORD-0728-3786,60.54,1.0,East,Home & Living,Online Store,97.0,2026-07-28
2026-07-28,ORD-0728-7233,133.57,4.0,West,Apparel,Online Store,102.0,2026-07-28
2026-07-28,ORD-0728-8946,122.92,1.0,West,Apparel,Mobile App,110.0,2026-07-28
2026-07-28,ORD-0728-1310,91.2,3.0,East,Health & Beauty,Marketplace,140.0,2026-07-28
2026-07-28,ORD-0728-2330,79.99,3.0,West,Home & Living,Mobile App,87.0,2026-07-28
2026-07-28,ORD-0728-6673,165.64,4.0,West,Apparel,Marketplace,144.0,2026-07-28
2026-07-28,ORD-0728-2593,144.31,1.0,East,Home & Living,In-Store POS,120.0,2026-07-28
2026-07-28,ORD-0728-6994,86.99,4.0,West,Health & Beauty,Marketplace,120.0,2026-07-28
2026-07-28,ORD-0728-8563,46.83,3.0,West,Health & Beauty,Online Store,112.0,2026-07-28
2026-07-28,ORD-0728-9287,68.23,2.0,South,Health & Beauty,In-Store POS,117.0,2026-07-28
2026-07-28,ORD-0728-3014,340.96,2.0,East,Electronics,Marketplace,99.0,2026-07-28
2026-07-28,ORD-0728-6452,44.9,2.0,South,Apparel,In-Store POS,120.0,2026-07-28
2026-07-28,ORD-0728-2411,149.64,3.0,East,Apparel,Mobile App,146.0,2026-07-28
2026-07-28,ORD-0728-8690,258.62,4.0,North,Electronics,Online Store,123.0,2026-07-28
2026-07-28,ORD-0728-9103,60.26,4.0,West,Home & Living,Online Store,100.0,2026-07-28
2026-07-29,ORD-0729-7385,143.3,1.0,North,Health & Beauty,Marketplace,110.0,2026-07-29
2026-07-29,ORD-0729-7356,110.39,2.0,East,Home & Living,Online Store,83.0,2026-07-29
2026-07-29,ORD-0729-1280,163.29,4.0,West,Apparel,Marketplace,90.0,2026-07-29
2026-07-29,ORD-0729-2880,81.41,1.0,South,Apparel,Marketplace,101.0,2026-07-29
2026-07-29,ORD-0729-1603,375.83,3.0,East,Electronics,Marketplace,121.0,2026-07-29
2026-07-29,ORD-0729-8967,270.27,3.0,South,Electronics,Mobile App,87.0,2026-07-29
2026-07-29,ORD-0729-3891,95.12,3.0,West,Apparel,In-Store POS,149.0,2026-07-29
2026-07-29,ORD-0729-7435,115.81,1.0,West,Health & Beauty,Mobile App,84.0,2026-07-29
2026-07-29,ORD-0729-6642,160.16,2.0,West,Health & Beauty,In-Store POS,145.0,2026-07-29
2026-07-29,ORD-0729-7005,325.32,3.0,West,Electronics,Marketplace,114.0,2026-07-29
2026-07-29,ORD-0729-7139,71.45,3.0,East,Home & Living,Marketplace,147.0,2026-07-29
2026-07-29,ORD-0729-2727,67.49,2.0,South,Health & Beauty,Mobile App,131.0,2026-07-29
2026-07-29,ORD-0729-3561,100.55,1.0,North,Home & Living,Online Store,89.0,2026-07-29
2026-07-29,ORD-0729-3837,357.89,2.0,North,Electronics,In-Store POS,135.0,2026-07-29
2026-07-29,ORD-0729-6002,249.79,2.0,East,Electronics,In-Store POS,91.0,2026-07-29
2026-07-29,ORD-0729-8994,188.93,1.0,West,Electronics,Online Store,129.0,2026-07-29
2026-07-29,ORD-0729-3568,114.01,3.0,South,Health & Beauty,Marketplace,108.0,2026-07-29
2026-07-29,ORD-0729-6654,36.62,2.0,West,Apparel,Mobile App,123.0,2026-07-29
2026-07-29,ORD-0729-8847,375.39,2.0,West,Electronics,In-Store POS,124.0,2026-07-29
2026-07-29,ORD-0729-8656,51.08,4.0,West,Apparel,Mobile App,134.0,2026-07-29
2026-07-29,ORD-0729-2989,44.96,3.0,East,Home & Living,In-Store POS,80.0,2026-07-29
2026-07-30,ORD-0730-4092,274.17,3.0,West,Electronics,Mobile App,120.0,2026-07-30
2026-07-30,ORD-0730-8226,122.55,1.0,South,Health & Beauty,Online Store,136.0,2026-07-30
2026-07-30,ORD-0730-9063,59.35,4.0,North,Apparel,Online Store,109.0,2026-07-30
2026-07-30,ORD-0730-6781,120.77,4.0,South,Home & Living,Online Store,84.0,2026-07-30
2026-07-30,ORD-0730-7014,97.24,1.0,North,Apparel,Online Store,103.0,2026-07-30
2026-07-30,ORD-0730-4250,198.89,2.0,North,Electronics,Online Store,84.0,2026-07-30
2026-07-30,ORD-0730-2507,106.32,3.0,East,Health & Beauty,In-Store POS,123.0,2026-07-30
2026-07-30,ORD-0730-6237,169.64,2.0,South,Apparel,Mobile App,85.0,2026-07-30
2026-07-30,ORD-0730-5969,121.75,3.0,South,Apparel,Mobile App,118.0,2026-07-30
2026-07-30,ORD-0730-9560,152.14,2.0,North,Health & Beauty,Online Store,120.0,2026-07-30
2026-07-30,ORD-0730-1443,39.71,1.0,South,Apparel,Marketplace,127.0,2026-07-30
2026-07-30,ORD-0730-6755,68.83,1.0,North,Health & Beauty,In-Store POS,140.0,2026-07-30
2026-07-30,ORD-0730-6767,135.57,3.0,North,Home & Living,In-Store POS,130.0,2026-07-30
2026-07-30,ORD-0730-6350,391.13,3.0,North,Electronics,Online Store,92.0,2026-07-30
2026-07-30,ORD-0730-6781,156.0,2.0,North,Home & Living,In-Store POS,140.0,2026-07-30
2026-07-30,ORD-0730-3183,133.89,4.0,South,Home & Living,In-Store POS,146.0,2026-07-30
2026-07-30,ORD-0730-2276,129.31,3.0,South,Health & Beauty,Mobile App,102.0,2026-07-30
2026-07-30,ORD-0730-7213,119.62,3.0,West,Apparel,Marketplace,118.0,2026-07-30
2026-07-30,ORD-0730-1487,169.25,3.0,West,Home & Living,In-Store POS,142.0,2026-07-30
2026-07-30,ORD-0730-4283,326.36,3.0,North,Electronics,Online Store,114.0,2026-07-30
2026-07-31,ORD-0731-5892,164.27,2.0,East,Home & Living,Marketplace,140.0,2026-07-31
2026-07-31,ORD-0731-7706,58.28,3.0,East,Apparel,Marketplace,126.0,2026-07-31
2026-07-31,ORD-0731-9027,54.84,3.0,West,Apparel,Online Store,142.0,2026-07-31
2026-07-31,ORD-0731-7426,76.64,2.0,East,Apparel,Mobile App,81.0,2026-07-31
2026-07-31,ORD-0731-5680,134.6,2.0,East,Apparel,Marketplace,90.0,2026-07-31
2026-07-31,ORD-0731-2435,167.21,1.0,South,Electronics,In-Store POS,130.0,2026-07-31
2026-07-31,ORD-0731-2382,47.18,4.0,South,Home & Living,Marketplace,114.0,2026-07-31
2026-07-31,ORD-0731-8731,177.12,1.0,South,Health & Beauty,In-Store POS,95.0,2026-07-31
2026-07-31,ORD-0731-5527,149.94,3.0,North,Home & Living,In-Store POS,84.0,2026-07-31
2026-07-31,ORD-0731-8549,98.68,2.0,South,Health & Beauty,In-Store POS,137.0,2026-07-31
2026-07-31,ORD-0731-2677,158.96,1.0,West,Apparel,Marketplace,111.0,2026-07-31
2026-07-31,ORD-0731-9850,168.69,4.0,West,Apparel,Marketplace,145.0,2026-07-31
2026-07-31,ORD-0731-9414,87.21,4.0,West,Home & Living,In-Store POS,94.0,2026-07-31
2026-07-31,ORD-0731-6349,39.54,1.0,North,Health & Beauty,Online Store,96.0,2026-07-31
2026-07-31,ORD-0731-5786,496.06,2.0,East,Electronics,Mobile App,80.0,2026-07-31
2026-07-31,ORD-0731-2605,138.58,4.0,South,Home & Living,In-Store POS,149.0,2026-07-31
2026-07-31,ORD-0731-6723,102.65,1.0,East,Home & Living,Mobile App,99.0,2026-07-31
2026-07-31,ORD-0731-1364,144.22,1.0,East,Electronics,Mobile App,131.0,2026-07-31
2026-07-31,ORD-0731-9379,138.69,4.0,West,Apparel,In-Store POS,89.0,2026-07-31
2026-07-31,ORD-0731-8684,26.92,4.0,East,Health & Beauty,Online Store,81.0,2026-07-31
2026-07-31,ORD-0731-5881,497.84,2.0,West,Electronics,Online Store,104.0,2026-07-31
2026-07-31,ORD-0731-3818,451.37,3.0,West,Electronics,In-Store POS,129.0,2026-07-31
2026-07-31,ORD-0731-4434,87.27,3.0,South,Health & Beauty,Marketplace,136.0,2026-07-31
2026-07-31,ORD-0731-2270,395.35,2.0,East,Electronics,In-Store POS,128.0,2026-07-31
2026-07-31,ORD-0731-1276,40.01,3.0,South,Health & Beauty,In-Store POS,91.0,2026-07-31
2026-07-31,ORD-0731-1860,176.73,4.0,North,Apparel,Online Store,112.0,2026-07-31
2026-07-31,ORD-0731-8688,146.21,3.0,North,Home & Living,Mobile App,112.0,2026-07-31
2026-07-31,ORD-0731-6041,132.22,2.0,North,Apparel,Mobile App,96.0,2026-07-31
2026-07-31,ORD-0731-5628,39.28,1.0,South,Apparel,Mobile App,120.0,2026-07-31
2026-07-31,ORD-0731-9268,104.88,2.0,East,Home & Living,Marketplace,125.0,2026-07-31
2026-07-31,ORD-0731-9206,170.34,3.0,West,Apparel,Mobile App,92.0,2026-07-31
2026-08-01,ORD-0801-1453,79.54,2.0,North,Home & Living,Marketplace,132.0,2026-08-01
2026-08-01,ORD-0801-8434,114.04,1.0,West,Home & Living,Mobile App,126.0,2026-08-01
2026-08-01,ORD-0801-6782,152.81,3.0,East,Home & Living,Online Store,136.0,2026-08-01
2026-08-01,ORD-0801-9712,116.58,4.0,West,Apparel,Marketplace,135.0,2026-08-01
2026-08-01,ORD-0801-4000,114.1,2.0,North,Electronics,Online Store,148.0,2026-08-01
2026-08-01,ORD-0801-2564,47.19,2.0,West,Health & Beauty,Online Store,92.0,2026-08-01
2026-08-01,ORD-0801-8734,336.8,3.0,North,Electronics,Mobile App,108.0,2026-08-01
2026-08-01,ORD-0801-1039,123.01,2.0,East,Health & Beauty,Marketplace,147.0,2026-08-01
2026-08-01,ORD-0801-6814,108.03,3.0,East,Electronics,In-Store POS,97.0,2026-08-01
2026-08-01,ORD-0801-1946,167.49,1.0,North,Health & Beauty,Online Store,102.0,2026-08-01
2026-08-01,ORD-0801-4100,49.62,2.0,North,Home & Living,Marketplace,131.0,2026-08-01
2026-08-01,ORD-0801-5572,163.27,1.0,East,Home & Living,Marketplace,120.0,2026-08-01
2026-08-01,ORD-0801-1910,415.0,1.0,East,Electronics,Online Store,100.0,2026-08-01
2026-08-01,ORD-0801-5359,122.77,4.0,North,Health & Beauty,Marketplace,141.0,2026-08-01
2026-08-01,ORD-0801-4440,311.96,3.0,North,Electronics,Online Store,83.0,2026-08-01
2026-08-01,ORD-0801-7003,148.95,1.0,North,Apparel,Mobile App,82.0,2026-08-01
2026-08-01,ORD-0801-3028,145.23,1.0,East,Home & Living,Online Store,106.0,2026-08-01
2026-08-01,ORD-0801-7839,169.89,3.0,North,Health & Beauty,Online Store,102.0,2026-08-01
2026-08-01,ORD-0801-7396,161.63,4.0,South,Apparel,Online Store,80.0,2026-08-01
2026-08-01,ORD-0801-8341,112.61,4.0,South,Apparel,Mobile App,127.0,2026-08-01
2026-08-01,ORD-0801-4256,106.5,2.0,South,Apparel,Online Store,89.0,2026-08-01
2026-08-01,ORD-0801-9163,42.18,3.0,East,Health & Beauty,In-Store POS,141.0,2026-08-01
2026-08-01,ORD-0801-4613,25.63,1.0,East,Home & Living,Online Store,96.0,2026-08-01
2026-08-01,ORD-0801-1068,168.51,3.0,South,Home & Living,Mobile App,149.0,2026-08-01
2026-08-01,ORD-0801-4056,145.82,1.0,South,Home & Living,Mobile App,89.0,2026-08-01
2026-08-01,ORD-0801-8565,129.98,1.0,South,Home & Living,Mobile App,103.0,2026-08-01
2026-08-01,ORD-0801-3433,65.93,3.0,West,Health & Beauty,Mobile App,110.0,2026-08-01
2026-08-01,ORD-0801-4124,82.24,3.0,West,Home & Living,Online Store,87.0,2026-08-01
2026-08-01,ORD-0801-6727,35.2,2.0,South,Home & Living,Online Store,85.0,2026-08-01
2026-08-01,ORD-0801-3854,85.26,4.0,West,Apparel,In-Store POS,126.0,2026-08-01
2026-08-01,ORD-0801-4220,198.02,3.0,South,Electronics,Online Store,129.0,2026-08-01
2026-08-02,ORD-0802-2317,177.1,2.0,West,Health & Beauty,Mobile App,103.0,2026-08-02
2026-08-02,ORD-0802-7306,173.4,1.0,North,Health & Beauty,Mobile App,118.0,2026-08-02
2026-08-02,ORD-0802-4482,54.2,2.0,East,Home & Living,Marketplace,150.0,2026-08-02
2026-08-02,ORD-0802-1764,105.8,4.0,North,Health & Beauty,Marketplace,143.0,2026-08-02
2026-08-02,ORD-0802-1687,105.83,2.0,North,Health & Beauty,Mobile App,111.0,2026-08-02
2026-08-02,ORD-0802-1101,70.92,1.0,East,Home & Living,Mobile App,110.0,2026-08-02
2026-08-02,ORD-0802-4693,117.31,3.0,West,Home & Living,Mobile App,117.0,2026-08-02
2026-08-02,ORD-0802-9839,70.27,1.0,South,Apparel,Online Store,107.0,2026-08-02
2026-08-02,ORD-0802-8872,70.94,2.0,West,Health & Beauty,Marketplace,145.0,2026-08-02
2026-08-02,ORD-0802-5258,31.51,3.0,North,Home & Living,Mobile App,108.0,2026-08-02
2026-08-02,ORD-0802-1674,35.75,4.0,East,Health & Beauty,Marketplace,116.0,2026-08-02
2026-08-02,ORD-0802-7239,51.59,3.0,West,Apparel,In-Store POS,88.0,2026-08-02
2026-08-02,ORD-0802-9827,32.29,1.0,North,Apparel,In-Store POS,88.0,2026-08-02
2026-08-02,ORD-0802-8157,51.62,3.0,East,Home & Living,In-Store POS,84.0,2026-08-02
2026-08-02,ORD-0802-7973,99.45,2.0,West,Health & Beauty,Marketplace,89.0,2026-08-02
2026-08-02,ORD-0802-4263,341.43,1.0,East,Electronics,Mobile App,147.0,2026-08-02
2026-08-02,ORD-0802-5338,70.6,1.0,West,Health & Beauty,Marketplace,127.0,2026-08-02
2026-08-02,ORD-0802-9628,484.54,2.0,East,Electronics,Online Store,138.0,2026-08-02
